aco_flight_number,plot_datetime,study_area,other_study_area,users,plot_id,tube_name,pre_survey_notes,gnss_unit,gnss_setup,other_gnss_setup,gnss_status,rover_height,tare_weight_g,plot_type,cardinal,distance_m,custom_distance,sample_type,depth_cm,depth_timestamp,depth_final_cm,core_length_cm,plug_cm,mass_tube_g,snow_depth,multi_core,multi_part_core_num,multi_core_num_copy,depth_cm_new,depth_cm_timestamp_new,core_section_length_cm,plug_cm_copy,mass_tube_g_new,core_length_final,plot_features,core_features,depth_of_saturation,mass_final_g,depth_max,retrieval,swe_cm,density,sample_rating,notes,snow_pit_distance_from_centre,snow_pit_depth_above_ground,snow_pit_temperature,snow_pit_density,survey_end
1,5/10/2024 9:13,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,SE,7.5,,Depth,165,5/10/2024 9:32,165,,,,165,,,,,,,,,,O,,,,,,,,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,SE,5,,Depth,161,5/10/2024 9:32,161,,,,161,,,,,,,,,,O,,,,,,,,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,SE,2.5,,Depth,159,5/10/2024 9:32,159,,,,159,,,,,,,,,,O,,,,,,,,Good,,,,,,5/10/2024 9:33
1,5/10/2024 15:15,Cruickshank,,"RW,LM,SM",E5F,CHRL 1,New tubes for this year,No already surveyed,,,,,2270,Cardinal 10 m,N,10,,Depth,86,5/10/2024 15:19,86,,,,86,,,,,,,,,,O,,,,,,,,Good,,,,,,5/10/2024 15:49
1,5/10/2024 15:15,Cruickshank,,"RW,LM,SM",E5F,CHRL 1,New tubes for this year,No already surveyed,,,,,2270,Cardinal 10 m,N,7.5,,Depth,33,5/10/2024 15:20,33,,,,33,,,,,,,,,,E,,,,,,,,Good,,,,,,5/10/2024 15:49
1,5/10/2024 15:15,Cruickshank,,"RW,LM,SM",E5F,CHRL 1,New tubes for this year,No already surveyed,,,,,2270,Cardinal 10 m,N,5,,Depth,0,5/10/2024 15:20,0,,,,0,,,,,,,,,,U,,,,,,,,Good,,,,,,5/10/2024 15:49
1,5/10/2024 15:15,Cruickshank,,"RW,LM,SM",E5F,CHRL 1,New tubes for this year,No already surveyed,,,,,2270,Cardinal 10 m,Centre,,,Density,51,5/10/2024 15:21,,48,2,2550,51,no,,,,,,,,46,O,,,280,51,90,24.951,0.509,Good,,,,,,5/10/2024 15:49
1,5/10/2024 15:15,Cruickshank,,"RW,LM,SM",E5F,CHRL 1,New tubes for this year,No already surveyed,,,,,2270,Cardinal 10 m,N,2.5,,Depth,0,5/10/2024 15:22,0,,,,0,,,,,,,,,,U,,,,,,,,Good,,,,,,5/10/2024 15:49
1,5/10/2024 15:15,Cruickshank,,"RW,LM,SM",E5F,CHRL 1,New tubes for this year,No already surveyed,,,,,2270,Cardinal 10 m,N,10,,Density,99,5/10/2024 15:23,,91,3,2740,99,no,,,,,,,,88,O,,,470,99,89,41.882,0.436,Good,,,,,,5/10/2024 15:49
1,5/10/2024 15:15,Cruickshank,,"RW,LM,SM",E5F,CHRL 1,New tubes for this year,No already surveyed,,,,,2270,Cardinal 10 m,S,10,,Depth,160,5/10/2024 15:26,160,,,,160,,,,,,,,,,E,,,,,,,,Good,,,,,,5/10/2024 15:49
1,5/10/2024 15:15,Cruickshank,,"RW,LM,SM",E5F,CHRL 1,New tubes for this year,No already surveyed,,,,,2270,Cardinal 10 m,S,7.5,,Depth,183,5/10/2024 15:24,183,,,,183,,,,,,,,,,O,,,,,,,,Good,,,,,,5/10/2024 15:49
1,5/10/2024 15:15,Cruickshank,,"RW,LM,SM",E5F,CHRL 1,New tubes for this year,No already surveyed,,,,,2270,Cardinal 10 m,S,5,,Depth,161,5/10/2024 15:25,161,,,,161,,,,,,,,,,O,,,,,,,,Good,,,,,,5/10/2024 15:49
1,5/10/2024 15:15,Cruickshank,,"RW,LM,SM",E5F,CHRL 1,New tubes for this year,No already surveyed,,,,,2270,Cardinal 10 m,S,2.5,,Depth,111,5/10/2024 15:26,111,,,,111,,,,,,,,,,O,,,,,,,,Good,,,,,,5/10/2024 15:49
1,5/10/2024 15:15,Cruickshank,,"RW,LM,SM",E5F,CHRL 1,New tubes for this year,No already surveyed,,,,,2270,Cardinal 10 m,S,10,,Density,156,5/10/2024 15:26,,139,0.001,3060,156,no,,,,,,,,138.999,O,,,790,156,89,70.397,0.451,Good,,,,,,5/10/2024 15:49
1,5/10/2024 15:15,Cruickshank,,"RW,LM,SM",E5F,CHRL 1,New tubes for this year,No already surveyed,,,,,2270,Cardinal 10 m,W,10,,Density,63,5/10/2024 15:29,,55,3,2560,63,,,,,,,,,52,O,,,290,63,83,25.842,0.431,Good,,,,,,5/10/2024 15:49
